"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_JOBCLASS","SUM(*)"
2017.0,"市监","坪山区","处级",2.0
2017.0,"水务","宝安区","处级",3.0
2017.0,"水务","福田区","处级",0.0
2017.0,"水务","罗湖区","处级",1.0
2017.0,"水务","南山区","处级",1.0
2017.0,"水务","盐田区","处级",1.0
2017.0,"司法","福田区","处级",1.0
2017.0,"统计","宝安区","处级",1.0
2017.0,"统计","罗湖区","处级",1.0
2017.0,"卫生","宝安区","处级",1.0
2017.0,"卫生","福田区","处级",2.0
2017.0,"卫生","龙岗区","处级",1.0
2017.0,"医疗","宝安区","处级",1.0
2017.0,"医疗","龙岗区","处级",1.0
2017.0,"医疗","坪山区","处级",0.0
2017.0,"医疗","盐田区","处级",0.0
2017.0,"应急","宝安区","处级",3.0
2017.0,"应急","大鹏新区","处级",1.0
2017.0,"应急","龙岗区","处级",0.0
2017.0,"应急","罗湖区","处级",4.0
2017.0,"应急","坪山区","处级",1.0
2017.0,"应急","盐田区","处级",1.0
2017.0,"住建","宝安区","处级",1.0
2017.0,"住建","福田区","处级",1.0
2017.0,"住建","光明区","处级",1.0
2017.0,"住建","罗湖区","处级",2.0
2017.0,"住建","盐田区","处级",1.0
2018.0,"保密","龙华区","处级",1.0
2018.0,"财政","宝安区","处级",1.0
2018.0,"财政","福田区","处级",2.0
2018.0,"财政","龙岗区","处级",1.0
2018.0,"财政","龙华区","处级",1.0
2018.0,"财政","罗湖区","处级",1.0
2018.0,"财政","南山区","处级",2.0
2018.0,"城管","宝安区","处级",3.0
2018.0,"城管","福田区","处级",0.0
2018.0,"城管","光明区","处级",1.0
2018.0,"城管","南山区","处级",2.0
2018.0,"城管","盐田区","处级",1.0
2018.0,"发改","光明区","处级",0.0
2018.0,"规自","宝安区","处级",5.0
2018.0,"规自","大鹏新区","处级",1.0
2018.0,"规自","龙岗区","处级",1.0
2018.0,"规自","龙华区","处级",1.0
2018.0,"规自","南山区","处级",1.0
2018.0,"规自","坪山区","处级",1.0
2018.0,"教育","福田区","处级",2.0
2018.0,"民政","坪山区","处级",1.0
2018.0,"民宗","宝安区","处级",0.0
2018.0,"民宗","坪山区","处级",0.0
2018.0,"民宗","盐田区","处级",0.0
2018.0,"人社","福田区","处级",1.0
2018.0,"人社","光明区","处级",1.0
2018.0,"人社","龙岗区","处级",2.0
2018.0,"人社","罗湖区","处级",1.0
2018.0,"人社","坪山区","处级",2.0
2018.0,"人社","盐田区","处级",1.0
2018.0,"审计","宝安区","处级",2.0
2018.0,"审计","龙岗区","处级",1.0
2018.0,"审计","龙华区","处级",1.0
2018.0,"审计","罗湖区","处级",1.0
2018.0,"审计","南山区","处级",2.0
2018.0,"审计","坪山区","处级",1.0
2018.0,"审计","盐田区","处级",1.0
2018.0,"生态","大鹏新区","处级",1.0
2018.0,"生态","光明区","处级",1.0
2018.0,"生态","龙岗区","处级",1.0
2018.0,"生态","龙华区","处级",1.0
2018.0,"生态","坪山区","处级",1.0
2018.0,"生态","盐田区","处级",1.0
2018.0,"市监","宝安区","处级",2.0
2018.0,"市监","大鹏新区","处级",1.0
2018.0,"市监","福田区","处级",2.0
2018.0,"市监","光明区","处级",2.0
2018.0,"市监","龙岗区","处级",2.0
2018.0,"市监","龙华区","处级",2.0
2018.0,"市监","罗湖区","处级",2.0
2018.0,"市监","南山区","处级",3.0
2018.0,"市监","坪山区","处级",2.0
2018.0,"水务","宝安区","处级",3.0
2018.0,"水务","福田区","处级",0.0
2018.0,"水务","罗湖区","处级",1.0
2018.0,"水务","南山区","处级",1.0
2018.0,"水务","盐田区","处级",1.0
2018.0,"司法","福田区","处级",1.0
2018.0,"统计","宝安区","处级",1.0
2018.0,"统计","罗湖区","处级",1.0
2018.0,"卫生","宝安区","处级",1.0
2018.0,"卫生","福田区","处级",2.0
2018.0,"卫生","龙岗区","处级",1.0
2018.0,"医疗","宝安区","处级",1.0
2018.0,"医疗","龙岗区","处级",1.0
2018.0,"医疗","坪山区","处级",0.0
2018.0,"医疗","盐田区","处级",0.0
2018.0,"应急","宝安区","处级",3.0
2018.0,"应急","大鹏新区","处级",1.0
2018.0,"应急","龙岗区","处级",0.0
2018.0,"应急","罗湖区","处级",4.0
2018.0,"应急","坪山区","处级",2.0
2018.0,"应急","盐田区","处级",1.0
2018.0,"住建","宝安区","处级",1.0
2018.0,"住建","福田区","处级",1.0
2018.0,"住建","光明区","处级",1.0
2018.0,"住建","罗湖区","处级",2.0
2018.0,"住建","盐田区","处级",1.0
2019.0,"保密","龙华区","处级",1.0
2019.0,"财政","宝安区","处级",1.0
2019.0,"财政","福田区","处级",2.0
2019.0,"财政","龙岗区","处级",1.0
2019.0,"财政","龙华区","处级",1.0
2019.0,"财政","罗湖区","处级",1.0
2019.0,"财政","南山区","处级",2.0
2019.0,"城管","宝安区","处级",4.0
2019.0,"城管","福田区","处级",1.0
2019.0,"城管","光明区","处级",1.0
2019.0,"城管","南山区","处级",2.0
2019.0,"城管","盐田区","处级",2.0
2019.0,"发改","光明区","处级",1.0
2019.0,"规自","宝安区","处级",5.0
2019.0,"规自","大鹏新区","处级",1.0
2019.0,"规自","龙岗区","处级",1.0
2019.0,"规自","龙华区","处级",1.0
2019.0,"规自","南山区","处级",1.0
2019.0,"规自","坪山区","处级",1.0
2019.0,"教育","福田区","处级",2.0
2019.0,"民政","坪山区","处级",1.0
2019.0,"民宗","宝安区","处级",2.0
2019.0,"民宗","坪山区","处级",1.0
2019.0,"民宗","盐田区","处级",2.0
2019.0,"人社","福田区","处级",1.0
2019.0,"人社","光明区","处级",1.0
2019.0,"人社","龙岗区","处级",2.0
2019.0,"人社","罗湖区","处级",1.0
2019.0,"人社","坪山区","处级",3.0
2019.0,"人社","盐田区","处级",1.0
2019.0,"审计","宝安区","处级",2.0
2019.0,"审计","龙岗区","处级",1.0
2019.0,"审计","龙华区","处级",1.0
2019.0,"审计","罗湖区","处级",1.0
2019.0,"审计","南山区","处级",2.0
2019.0,"审计","坪山区","处级",1.0
2019.0,"审计","盐田区","处级",1.0
2019.0,"生态","大鹏新区","处级",1.0
2019.0,"生态","光明区","处级",1.0
2019.0,"生态","龙岗区","处级",1.0
2019.0,"生态","龙华区","处级",1.0
2019.0,"生态","坪山区","处级",1.0
2019.0,"生态","盐田区","处级",1.0
2019.0,"市监","宝安区","处级",2.0
2019.0,"市监","大鹏新区","处级",1.0
2019.0,"市监","福田区","处级",2.0
2019.0,"市监","光明区","处级",2.0
2019.0,"市监","龙岗区","处级",2.0
2019.0,"市监","龙华区","处级",2.0
2019.0,"市监","罗湖区","处级",2.0
2019.0,"市监","南山区","处级",3.0
2019.0,"市监","坪山区","处级",2.0
2019.0,"水务","宝安区","处级",3.0
2019.0,"水务","福田区","处级",1.0
2019.0,"水务","罗湖区","处级",1.0
2019.0,"水务","南山区","处级",1.0
2019.0,"水务","盐田区","处级",1.0
2019.0,"司法","福田区","处级",1.0
2019.0,"统计","宝安区","处级",1.0
2019.0,"统计","罗湖区","处级",1.0
2019.0,"卫生","宝安区","处级",1.0
2019.0,"卫生","福田区","处级",2.0
2019.0,"卫生","龙岗区","处级",1.0
2019.0,"医疗","宝安区","处级",1.0
2019.0,"医疗","龙岗区","处级",1.0
2019.0,"医疗","坪山区","处级",1.0
2019.0,"医疗","盐田区","处级",1.0
2019.0,"应急","宝安区","处级",3.0
2019.0,"应急","大鹏新区","处级",1.0
2019.0,"应急","龙岗区","处级",1.0
2019.0,"应急","罗湖区","处级",4.0
2019.0,"应急","坪山区","处级",2.0
2019.0,"应急","盐田区","处级",1.0
2019.0,"住建","宝安区","处级",1.0
2019.0,"住建","福田区","处级",1.0
2019.0,"住建","光明区","处级",1.0
2019.0,"住建","罗湖区","处级",2.0
2019.0,"住建","盐田区","处级",1.0
2016.0,"保密","龙岗区","副处级",0.0
2016.0,"财政","宝安区","副处级",0.0
2016.0,"财政","福田区","副处级",0.0
2016.0,"财政","龙华区","副处级",0.0
2016.0,"财政","罗湖区","副处级",0.0
2016.0,"财政","南山区","副处级",0.0
2016.0,"财政","坪山区","副处级",0.0
2016.0,"城管","宝安区","副处级",0.0
2016.0,"城管","福田区","副处级",0.0
2016.0,"城管","光明区","副处级",0.0
2016.0,"城管","龙岗区","副处级",0.0
2016.0,"城管","龙华区","副处级",0.0
2016.0,"城管","罗湖区","副处级",0.0
2016.0,"城管","南山区","副处级",0.0
2016.0,"城管","坪山区","副处级",0.0
2016.0,"城管","盐田区","副处级",0.0
2016.0,"工信","龙华区","副处级",0.0
2016.0,"规自","宝安区","副处级",0.0
2016.0,"规自","大鹏新区","副处级",0.0
2016.0,"规自","福田区","副处级",0.0
2016.0,"规自","光明区","副处级",0.0
2016.0,"规自","龙岗区","副处级",0.0
2016.0,"规自","龙华区","副处级",0.0
2016.0,"规自","罗湖区","副处级",0.0
2016.0,"规自","南山区","副处级",0.0
2016.0,"规自","坪山区","副处级",0.0
2016.0,"规自","盐田区","副处级",0.0
2016.0,"教育","宝安区","副处级",0.0
2016.0,"教育","福田区","副处级",0.0
2016.0,"教育","光明区","副处级",0.0
2016.0,"教育","龙岗区","副处级",0.0
2016.0,"教育","龙华区","副处级",0.0
2016.0,"教育","南山区","副处级",0.0
2016.0,"教育","坪山区","副处级",0.0
