"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_STAFFTYPE","SUM(*)"
2019.0,"城管","宝安区","公务员",33.0
2019.0,"城管","大鹏新区","公务员",8.0
2019.0,"城管","福田区","公务员",11.0
2019.0,"城管","光明区","公务员",8.0
2019.0,"城管","龙岗区","公务员",179.0
2019.0,"城管","龙华区","公务员",9.0
2019.0,"城管","罗湖区","公务员",23.0
2019.0,"城管","南山区","公务员",173.0
2019.0,"城管","坪山区","公务员",49.0
2019.0,"城管","盐田区","公务员",46.0
2019.0,"档案","龙岗区","公务员",1.0
2019.0,"档案","罗湖区","公务员",1.0
2019.0,"档案","盐田区","公务员",2.0
2019.0,"发改","大鹏新区","公务员",2.0
2019.0,"发改","光明区","公务员",4.0
2019.0,"工信","宝安区","公务员",7.0
2019.0,"工信","龙华区","公务员",12.0
2019.0,"规自","宝安区","公务员",134.0
2019.0,"规自","大鹏新区","公务员",52.0
2019.0,"规自","福田区","公务员",74.0
2019.0,"规自","光明区","公务员",48.0
2019.0,"规自","龙岗区","公务员",51.0
2019.0,"规自","龙华区","公务员",84.0
2019.0,"规自","罗湖区","公务员",66.0
2019.0,"规自","南山区","公务员",71.0
2019.0,"规自","坪山区","公务员",58.0
2019.0,"规自","盐田区","公务员",36.0
2019.0,"教育","宝安区","公务员",13.0
2019.0,"教育","福田区","公务员",27.0
2019.0,"教育","光明区","公务员",5.0
2019.0,"教育","龙岗区","公务员",27.0
2019.0,"教育","龙华区","公务员",8.0
2019.0,"教育","罗湖区","公务员",8.0
2019.0,"教育","南山区","公务员",6.0
2019.0,"教育","坪山区","公务员",7.0
2019.0,"民政","宝安区","公务员",6.0
2019.0,"民政","福田区","公务员",6.0
2019.0,"民政","光明区","公务员",2.0
2019.0,"民政","龙岗区","公务员",2.0
2019.0,"民政","龙华区","公务员",5.0
2019.0,"民政","罗湖区","公务员",3.0
2019.0,"民政","南山区","公务员",4.0
2019.0,"民政","坪山区","公务员",10.0
2019.0,"民政","盐田区","公务员",4.0
2019.0,"民宗","宝安区","公务员",9.0
2019.0,"民宗","福田区","公务员",3.0
2019.0,"民宗","光明区","公务员",1.0
2019.0,"民宗","龙岗区","公务员",2.0
2019.0,"民宗","龙华区","公务员",8.0
2019.0,"民宗","罗湖区","公务员",6.0
2019.0,"民宗","南山区","公务员",3.0
2019.0,"民宗","坪山区","公务员",4.0
2019.0,"民宗","盐田区","公务员",6.0
2019.0,"人社","宝安区","公务员",57.0
2019.0,"人社","大鹏新区","公务员",6.0
2019.0,"人社","福田区","公务员",23.0
2019.0,"人社","光明区","公务员",15.0
2019.0,"人社","龙岗区","公务员",118.0
2019.0,"人社","龙华区","公务员",43.0
2019.0,"人社","罗湖区","公务员",39.0
2019.0,"人社","南山区","公务员",24.0
2019.0,"人社","坪山区","公务员",24.0
2019.0,"人社","盐田区","公务员",23.0
2019.0,"审计","宝安区","公务员",14.0
2019.0,"审计","福田区","公务员",12.0
2019.0,"审计","光明区","公务员",1.0
2019.0,"审计","龙岗区","公务员",40.0
2019.0,"审计","龙华区","公务员",7.0
2019.0,"审计","罗湖区","公务员",22.0
2019.0,"审计","南山区","公务员",15.0
2019.0,"审计","坪山区","公务员",5.0
2019.0,"审计","盐田区","公务员",17.0
2019.0,"生态","宝安区","公务员",48.0
2019.0,"生态","大鹏新区","公务员",9.0
2019.0,"生态","福田区","公务员",10.0
2019.0,"生态","光明区","公务员",7.0
2019.0,"生态","龙岗区","公务员",41.0
2019.0,"生态","龙华区","公务员",22.0
2019.0,"生态","罗湖区","公务员",13.0
2019.0,"生态","南山区","公务员",16.0
2019.0,"生态","坪山区","公务员",8.0
2019.0,"生态","盐田区","公务员",7.0
2019.0,"事单","宝安区","公务员",1.0
2019.0,"事单","大鹏新区","公务员",1.0
2019.0,"事单","龙岗区","公务员",2.0
2019.0,"事单","龙华区","公务员",2.0
2019.0,"事单","罗湖区","公务员",6.0
2019.0,"市监","宝安区","公务员",359.0
2019.0,"市监","大鹏新区","公务员",95.0
2019.0,"市监","福田区","公务员",338.0
2019.0,"市监","光明区","公务员",120.0
2019.0,"市监","龙岗区","公务员",376.0
2019.0,"市监","龙华区","公务员",184.0
2019.0,"市监","罗湖区","公务员",314.0
2019.0,"市监","南山区","公务员",247.0
2019.0,"市监","坪山区","公务员",116.0
2019.0,"市监","盐田区","公务员",104.0
2019.0,"水务","宝安区","公务员",48.0
2019.0,"水务","大鹏新区","公务员",2.0
2019.0,"水务","福田区","公务员",11.0
2019.0,"水务","光明区","公务员",5.0
2019.0,"水务","龙岗区","公务员",26.0
2019.0,"水务","龙华区","公务员",12.0
2019.0,"水务","罗湖区","公务员",13.0
2019.0,"水务","南山区","公务员",11.0
2019.0,"水务","坪山区","公务员",5.0
2019.0,"水务","盐田区","公务员",11.0
2019.0,"司法","宝安区","公务员",6.0
2019.0,"司法","大鹏新区","公务员",3.0
2019.0,"司法","福田区","公务员",11.0
2019.0,"司法","龙岗区","公务员",5.0
2019.0,"司法","龙华区","公务员",1.0
2019.0,"司法","罗湖区","公务员",8.0
2019.0,"司法","南山区","公务员",7.0
2019.0,"司法","坪山区","公务员",3.0
2019.0,"司法","盐田区","公务员",5.0
2019.0,"统计","宝安区","公务员",6.0
2019.0,"统计","福田区","公务员",7.0
2019.0,"统计","龙岗区","公务员",2.0
2019.0,"统计","龙华区","公务员",3.0
2019.0,"统计","罗湖区","公务员",11.0
2019.0,"统计","南山区","公务员",10.0
2019.0,"统计","坪山区","公务员",11.0
2019.0,"统计","盐田区","公务员",4.0
2019.0,"退役","罗湖区","公务员",2.0
2019.0,"卫生","宝安区","公务员",62.0
2019.0,"卫生","大鹏新区","公务员",6.0
2019.0,"卫生","福田区","公务员",62.0
2019.0,"卫生","龙岗区","公务员",56.0
2019.0,"卫生","龙华区","公务员",8.0
2019.0,"卫生","罗湖区","公务员",35.0
2019.0,"卫生","南山区","公务员",55.0
2019.0,"卫生","坪山区","公务员",10.0
2019.0,"卫生","盐田区","公务员",7.0
2019.0,"文体","宝安区","公务员",12.0
2019.0,"文体","大鹏新区","公务员",9.0
2019.0,"文体","福田区","公务员",23.0
2019.0,"文体","光明区","公务员",9.0
2019.0,"文体","龙岗区","公务员",29.0
2019.0,"文体","龙华区","公务员",3.0
2019.0,"文体","罗湖区","公务员",22.0
2019.0,"文体","南山区","公务员",22.0
2019.0,"文体","坪山区","公务员",2.0
2019.0,"烟草","大鹏新区","公务员",4.0
2019.0,"医疗","宝安区","公务员",17.0
2019.0,"医疗","大鹏新区","公务员",5.0
2019.0,"医疗","福田区","公务员",10.0
2019.0,"医疗","光明区","公务员",7.0
2019.0,"医疗","龙岗区","公务员",17.0
2019.0,"医疗","龙华区","公务员",13.0
2019.0,"医疗","罗湖区","公务员",9.0
2019.0,"医疗","南山区","公务员",12.0
2019.0,"医疗","坪山区","公务员",7.0
2019.0,"医疗","盐田区","公务员",5.0
2019.0,"应急","宝安区","公务员",30.0
2019.0,"应急","大鹏新区","公务员",16.0
2019.0,"应急","福田区","公务员",24.0
2019.0,"应急","光明区","公务员",24.0
2019.0,"应急","龙岗区","公务员",85.0
2019.0,"应急","龙华区","公务员",37.0
2019.0,"应急","罗湖区","公务员",44.0
2019.0,"应急","南山区","公务员",39.0
2019.0,"应急","坪山区","公务员",37.0
2019.0,"应急","盐田区","公务员",14.0
2019.0,"住建","宝安区","公务员",33.0
2019.0,"住建","大鹏新区","公务员",8.0
2019.0,"住建","福田区","公务员",18.0
2019.0,"住建","光明区","公务员",8.0
2019.0,"住建","龙岗区","公务员",25.0
2019.0,"住建","龙华区","公务员",21.0
2019.0,"住建","罗湖区","公务员",22.0
2019.0,"住建","南山区","公务员",16.0
2019.0,"住建","坪山区","公务员",12.0
2019.0,"住建","盐田区","公务员",15.0
2016.0,"城管","南山区","聘任制公务员",0.0
2016.0,"城管","坪山区","聘任制公务员",0.0
2016.0,"人社","宝安区","聘任制公务员",0.0
2016.0,"人社","福田区","聘任制公务员",0.0
2016.0,"生态","宝安区","聘任制公务员",0.0
2016.0,"应急","龙岗区","聘任制公务员",0.0
2017.0,"城管","南山区","聘任制公务员",1.0
2017.0,"城管","坪山区","聘任制公务员",1.0
2017.0,"人社","宝安区","聘任制公务员",2.0
2017.0,"人社","福田区","聘任制公务员",12.0
2017.0,"生态","宝安区","聘任制公务员",1.0
2017.0,"应急","龙岗区","聘任制公务员",1.0
2018.0,"城管","南山区","聘任制公务员",2.0
2018.0,"城管","坪山区","聘任制公务员",1.0
2018.0,"人社","宝安区","聘任制公务员",3.0
2018.0,"人社","福田区","聘任制公务员",13.0
2018.0,"生态","宝安区","聘任制公务员",1.0
2018.0,"应急","龙岗区","聘任制公务员",1.0
2019.0,"城管","南山区","聘任制公务员",2.0
2019.0,"城管","坪山区","聘任制公务员",1.0
2019.0,"人社","宝安区","聘任制公务员",3.0
2019.0,"人社","福田区","聘任制公务员",13.0
2019.0,"生态","宝安区","聘任制公务员",1.0
2019.0,"应急","龙岗区","聘任制公务员",1.0
2016.0,"城管","龙岗区","其他",0.0
2016.0,"城管","南山区","其他",0.0
2016.0,"城管","坪山区","其他",0.0
2016.0,"规自","宝安区","其他",0.0
2016.0,"规自","大鹏新区","其他",0.0
2016.0,"规自","光明区","其他",0.0
2016.0,"规自","南山区","其他",0.0
2016.0,"规自","坪山区","其他",0.0
2016.0,"教育","宝安区","其他",0.0
2016.0,"教育","罗湖区","其他",0.0
2016.0,"人社","宝安区","其他",0.0
2016.0,"人社","大鹏新区","其他",0.0
2016.0,"人社","福田区","其他",0.0
2016.0,"人社","光明区","其他",0.0
2016.0,"人社","龙岗区","其他",0.0
2016.0,"人社","龙华区","其他",0.0
2016.0,"人社","坪山区","其他",0.0
2016.0,"人社","盐田区","其他",0.0
2016.0,"生态","龙岗区","其他",0.0
2016.0,"市监","宝安区","其他",0.0
2016.0,"水务","宝安区","其他",0.0
2016.0,"水务","大鹏新区","其他",0.0
2016.0,"水务","福田区","其他",0.0
2016.0,"水务","罗湖区","其他",0.0
2016.0,"水务","坪山区","其他",0.0
2016.0,"卫生","龙岗区","其他",0.0
2016.0,"卫生","南山区","其他",0.0
2016.0,"应急","宝安区","其他",0.0
2016.0,"应急","福田区","其他",0.0
2016.0,"应急","光明区","其他",0.0
2016.0,"应急","龙岗区","其他",0.0
2016.0,"应急","罗湖区","其他",0.0
2016.0,"应急","南山区","其他",0.0
2016.0,"应急","坪山区","其他",0.0
2016.0,"应急","盐田区","其他",0.0
2016.0,"住建","宝安区","其他",0.0
2016.0,"住建","福田区","其他",0.0
2016.0,"住建","南山区","其他",0.0
2017.0,"城管","龙岗区","其他",5.0
2017.0,"城管","南山区","其他",1.0
2017.0,"城管","坪山区","其他",13.0
2017.0,"规自","宝安区","其他",4.0
2017.0,"规自","大鹏新区","其他",1.0
2017.0,"规自","光明区","其他",1.0
2017.0,"规自","南山区","其他",2.0
2017.0,"规自","坪山区","其他",0.0
2017.0,"教育","宝安区","其他",0.0
2017.0,"教育","罗湖区","其他",3.0
2017.0,"人社","宝安区","其他",1.0
2017.0,"人社","大鹏新区","其他",1.0
2017.0,"人社","福田区","其他",2.0
2017.0,"人社","光明区","其他",0.0
2017.0,"人社","龙岗区","其他",0.0
2017.0,"人社","龙华区","其他",1.0
2017.0,"人社","坪山区","其他",0.0
2017.0,"人社","盐田区","其他",2.0
2017.0,"生态","龙岗区","其他",10.0
2017.0,"市监","宝安区","其他",3.0
2017.0,"水务","宝安区","其他",0.0
2017.0,"水务","大鹏新区","其他",1.0
2017.0,"水务","福田区","其他",1.0
2017.0,"水务","罗湖区","其他",2.0
2017.0,"水务","坪山区","其他",1.0
2017.0,"卫生","龙岗区","其他",1.0
2017.0,"卫生","南山区","其他",0.0
2017.0,"应急","宝安区","其他",4.0
2017.0,"应急","福田区","其他",47.0
2017.0,"应急","光明区","其他",27.0
2017.0,"应急","龙岗区","其他",118.0
2017.0,"应急","罗湖区","其他",5.0
2017.0,"应急","南山区","其他",1.0
2017.0,"应急","坪山区","其他",29.0
2017.0,"应急","盐田区","其他",3.0
2017.0,"住建","宝安区","其他",2.0
2017.0,"住建","福田区","其他",1.0
2017.0,"住建","南山区","其他",1.0
2018.0,"城管","龙岗区","其他",7.0
2018.0,"城管","南山区","其他",1.0
2018.0,"城管","坪山区","其他",15.0
2018.0,"规自","宝安区","其他",4.0
2018.0,"规自","大鹏新区","其他",2.0
2018.0,"规自","光明区","其他",1.0
2018.0,"规自","南山区","其他",2.0
2018.0,"规自","坪山区","其他",2.0
2018.0,"教育","宝安区","其他",0.0
2018.0,"教育","罗湖区","其他",3.0
2018.0,"人社","宝安区","其他",1.0
2018.0,"人社","大鹏新区","其他",1.0
2018.0,"人社","福田区","其他",2.0
2018.0,"人社","光明区","其他",1.0
2018.0,"人社","龙岗区","其他",1.0
2018.0,"人社","龙华区","其他",3.0
2018.0,"人社","坪山区","其他",3.0
2018.0,"人社","盐田区","其他",4.0
2018.0,"生态","龙岗区","其他",14.0
2018.0,"市监","宝安区","其他",3.0
2018.0,"水务","宝安区","其他",1.0
2018.0,"水务","大鹏新区","其他",1.0
2018.0,"水务","福田区","其他",2.0
2018.0,"水务","罗湖区","其他",2.0
2018.0,"水务","坪山区","其他",4.0
2018.0,"卫生","龙岗区","其他",1.0
2018.0,"卫生","南山区","其他",5.0
2018.0,"应急","宝安区","其他",4.0
2018.0,"应急","福田区","其他",48.0
2018.0,"应急","光明区","其他",38.0
2018.0,"应急","龙岗区","其他",206.0
2018.0,"应急","罗湖区","其他",5.0
2018.0,"应急","南山区","其他",2.0
2018.0,"应急","坪山区","其他",32.0
2018.0,"应急","盐田区","其他",6.0
2018.0,"住建","宝安区","其他",2.0
2018.0,"住建","福田区","其他",1.0
2018.0,"住建","南山区","其他",1.0
2019.0,"城管","龙岗区","其他",7.0
2019.0,"城管","南山区","其他",1.0
2019.0,"城管","坪山区","其他",15.0
2019.0,"规自","宝安区","其他",4.0
2019.0,"规自","大鹏新区","其他",2.0
2019.0,"规自","光明区","其他",1.0
2019.0,"规自","南山区","其他",2.0
2019.0,"规自","坪山区","其他",2.0
2019.0,"教育","宝安区","其他",2.0
2019.0,"教育","罗湖区","其他",3.0
2019.0,"人社","宝安区","其他",1.0
2019.0,"人社","大鹏新区","其他",1.0
2019.0,"人社","福田区","其他",2.0
2019.0,"人社","光明区","其他",1.0
2019.0,"人社","龙岗区","其他",1.0
2019.0,"人社","龙华区","其他",3.0
2019.0,"人社","坪山区","其他",3.0
2019.0,"人社","盐田区","其他",4.0
2019.0,"生态","龙岗区","其他",14.0
2019.0,"市监","宝安区","其他",3.0
2019.0,"水务","宝安区","其他",1.0
2019.0,"水务","大鹏新区","其他",1.0
2019.0,"水务","福田区","其他",2.0
2019.0,"水务","罗湖区","其他",4.0
2019.0,"水务","坪山区","其他",5.0
2019.0,"卫生","龙岗区","其他",1.0
2019.0,"卫生","南山区","其他",5.0
2019.0,"应急","宝安区","其他",4.0
2019.0,"应急","福田区","其他",48.0
2019.0,"应急","光明区","其他",41.0
2019.0,"应急","龙岗区","其他",213.0
2019.0,"应急","罗湖区","其他",5.0
2019.0,"应急","南山区","其他",2.0
2019.0,"应急","坪山区","其他",32.0
2019.0,"应急","盐田区","其他",6.0
2019.0,"住建","宝安区","其他",2.0
2019.0,"住建","福田区","其他",1.0
2019.0,"住建","南山区","其他",2.0
2016.0,"保密","光明区","事业编制工作人员",0.0
2016.0,"保密","坪山区","事业编制工作人员",0.0
2016.0,"财政","宝安区","事业编制工作人员",0.0
2016.0,"财政","大鹏新区","事业编制工作人员",0.0
2016.0,"财政","福田区","事业编制工作人员",0.0
2016.0,"财政","光明区","事业编制工作人员",0.0
2016.0,"财政","龙华区","事业编制工作人员",0.0
2016.0,"财政","南山区","事业编制工作人员",0.0
2016.0,"财政","坪山区","事业编制工作人员",0.0
2016.0,"城管","宝安区","事业编制工作人员",0.0
2016.0,"城管","大鹏新区","事业编制工作人员",0.0
2016.0,"城管","光明区","事业编制工作人员",0.0
2016.0,"城管","龙岗区","事业编制工作人员",0.0
2016.0,"城管","罗湖区","事业编制工作人员",0.0
2016.0,"城管","南山区","事业编制工作人员",0.0
2016.0,"城管","坪山区","事业编制工作人员",0.0
2016.0,"发改","大鹏新区","事业编制工作人员",0.0
2016.0,"发改","光明区","事业编制工作人员",0.0
2016.0,"工信","龙华区","事业编制工作人员",0.0
2016.0,"工信","南山区","事业编制工作人员",0.0
2016.0,"规自","大鹏新区","事业编制工作人员",0.0
2016.0,"规自","福田区","事业编制工作人员",0.0
2016.0,"规自","光明区","事业编制工作人员",0.0
2016.0,"规自","龙华区","事业编制工作人员",0.0
2016.0,"规自","南山区","事业编制工作人员",0.0
2016.0,"规自","坪山区","事业编制工作人员",0.0
2016.0,"教育","宝安区","事业编制工作人员",0.0
2016.0,"教育","龙岗区","事业编制工作人员",0.0
2016.0,"教育","坪山区","事业编制工作人员",0.0
2016.0,"民政","宝安区","事业编制工作人员",0.0
2016.0,"民政","光明区","事业编制工作人员",0.0
2016.0,"民政","龙岗区","事业编制工作人员",0.0
2016.0,"民政","龙华区","事业编制工作人员",0.0
2016.0,"民政","罗湖区","事业编制工作人员",0.0
2016.0,"民政","南山区","事业编制工作人员",0.0
2016.0,"民政","坪山区","事业编制工作人员",0.0
2016.0,"民政","盐田区","事业编制工作人员",0.0
2016.0,"民宗","罗湖区","事业编制工作人员",0.0
2016.0,"民宗","坪山区","事业编制工作人员",0.0
2016.0,"人社","宝安区","事业编制工作人员",0.0
2016.0,"人社","福田区","事业编制工作人员",0.0
2016.0,"人社","光明区","事业编制工作人员",0.0
2016.0,"人社","龙岗区","事业编制工作人员",0.0
2016.0,"人社","龙华区","事业编制工作人员",0.0
2016.0,"人社","罗湖区","事业编制工作人员",0.0
2016.0,"人社","南山区","事业编制工作人员",0.0
2016.0,"人社","坪山区","事业编制工作人员",2.0
2016.0,"审计","宝安区","事业编制工作人员",0.0
2016.0,"审计","福田区","事业编制工作人员",0.0
2016.0,"审计","光明区","事业编制工作人员",0.0
2016.0,"审计","龙岗区","事业编制工作人员",0.0
2016.0,"审计","龙华区","事业编制工作人员",0.0
2016.0,"审计","南山区","事业编制工作人员",0.0
2016.0,"审计","坪山区","事业编制工作人员",0.0
2016.0,"生态","宝安区","事业编制工作人员",0.0
2016.0,"生态","大鹏新区","事业编制工作人员",0.0
2016.0,"生态","福田区","事业编制工作人员",0.0
2016.0,"生态","光明区","事业编制工作人员",0.0
2016.0,"生态","龙岗区","事业编制工作人员",0.0
2016.0,"生态","龙华区","事业编制工作人员",0.0
2016.0,"生态","罗湖区","事业编制工作人员",0.0
2016.0,"生态","南山区","事业编制工作人员",0.0
2016.0,"生态","坪山区","事业编制工作人员",0.0
2016.0,"生态","盐田区","事业编制工作人员",0.0
2016.0,"事单","龙华区","事业编制工作人员",0.0
2016.0,"事单","坪山区","事业编制工作人员",0.0
2016.0,"市监","盐田区","事业编制工作人员",0.0
2016.0,"水务","宝安区","事业编制工作人员",0.0
2016.0,"水务","福田区","事业编制工作人员",0.0
2016.0,"水务","龙岗区","事业编制工作人员",0.0
2016.0,"水务","罗湖区","事业编制工作人员",0.0
2016.0,"水务","南山区","事业编制工作人员",0.0
2016.0,"水务","坪山区","事业编制工作人员",0.0
2016.0,"水务","盐田区","事业编制工作人员",0.0
2016.0,"司法","龙华区","事业编制工作人员",0.0
2016.0,"司法","坪山区","事业编制工作人员",0.0
2016.0,"统计","宝安区","事业编制工作人员",0.0
2016.0,"统计","福田区","事业编制工作人员",0.0
2016.0,"统计","龙华区","事业编制工作人员",0.0
2016.0,"统计","罗湖区","事业编制工作人员",0.0
2016.0,"统计","南山区","事业编制工作人员",0.0
2016.0,"统计","坪山区","事业编制工作人员",0.0
2016.0,"卫生","宝安区","事业编制工作人员",0.0
2016.0,"卫生","大鹏新区","事业编制工作人员",0.0
2016.0,"卫生","福田区","事业编制工作人员",0.0
2016.0,"卫生","光明区","事业编制工作人员",0.0
2016.0,"卫生","龙岗区","事业编制工作人员",0.0
2016.0,"卫生","龙华区","事业编制工作人员",0.0
2016.0,"卫生","南山区","事业编制工作人员",0.0
2016.0,"卫生","坪山区","事业编制工作人员",0.0
2016.0,"文体","大鹏新区","事业编制工作人员",0.0
2016.0,"文体","龙岗区","事业编制工作人员",0.0
2016.0,"医疗","宝安区","事业编制工作人员",0.0
2016.0,"医疗","大鹏新区","事业编制工作人员",0.0
2016.0,"医疗","福田区","事业编制工作人员",0.0
2016.0,"医疗","光明区","事业编制工作人员",0.0
2016.0,"医疗","龙岗区","事业编制工作人员",0.0
2016.0,"医疗","罗湖区","事业编制工作人员",0.0
2016.0,"医疗","坪山区","事业编制工作人员",0.0
2016.0,"医疗","盐田区","事业编制工作人员",0.0
2016.0,"应急","大鹏新区","事业编制工作人员",0.0
2016.0,"应急","福田区","事业编制工作人员",0.0
2016.0,"应急","光明区","事业编制工作人员",0.0
2016.0,"应急","龙岗区","事业编制工作人员",0.0
2016.0,"应急","龙华区","事业编制工作人员",0.0
2016.0,"应急","罗湖区","事业编制工作人员",0.0
2016.0,"应急","南山区","事业编制工作人员",0.0
2016.0,"应急","坪山区","事业编制工作人员",0.0
2016.0,"住建","宝安区","事业编制工作人员",0.0
2016.0,"住建","大鹏新区","事业编制工作人员",0.0
2016.0,"住建","福田区","事业编制工作人员",0.0
2016.0,"住建","光明区","事业编制工作人员",0.0
2016.0,"住建","龙岗区","事业编制工作人员",0.0
2016.0,"住建","龙华区","事业编制工作人员",0.0
2016.0,"住建","罗湖区","事业编制工作人员",0.0
2016.0,"住建","南山区","事业编制工作人员",0.0
2016.0,"住建","坪山区","事业编制工作人员",0.0
2016.0,"住建","盐田区","事业编制工作人员",0.0
2017.0,"保密","光明区","事业编制工作人员",1.0
2017.0,"保密","坪山区","事业编制工作人员",1.0
2017.0,"财政","宝安区","事业编制工作人员",0.0
2017.0,"财政","大鹏新区","事业编制工作人员",0.0
2017.0,"财政","福田区","事业编制工作人员",0.0
2017.0,"财政","光明区","事业编制工作人员",3.0
2017.0,"财政","龙华区","事业编制工作人员",1.0
2017.0,"财政","南山区","事业编制工作人员",0.0
2017.0,"财政","坪山区","事业编制工作人员",3.0
2017.0,"城管","宝安区","事业编制工作人员",0.0
2017.0,"城管","大鹏新区","事业编制工作人员",7.0
2017.0,"城管","光明区","事业编制工作人员",0.0
2017.0,"城管","龙岗区","事业编制工作人员",11.0
2017.0,"城管","罗湖区","事业编制工作人员",2.0
2017.0,"城管","南山区","事业编制工作人员",26.0
2017.0,"城管","坪山区","事业编制工作人员",10.0
2017.0,"发改","大鹏新区","事业编制工作人员",0.0
2017.0,"发改","光明区","事业编制工作人员",2.0
2017.0,"工信","龙华区","事业编制工作人员",8.0
2017.0,"工信","南山区","事业编制工作人员",7.0
2017.0,"规自","大鹏新区","事业编制工作人员",0.0
2017.0,"规自","福田区","事业编制工作人员",9.0
2017.0,"规自","光明区","事业编制工作人员",7.0
2017.0,"规自","龙华区","事业编制工作人员",3.0
2017.0,"规自","南山区","事业编制工作人员",2.0
2017.0,"规自","坪山区","事业编制工作人员",12.0
2017.0,"教育","宝安区","事业编制工作人员",0.0
2017.0,"教育","龙岗区","事业编制工作人员",25.0
2017.0,"教育","坪山区","事业编制工作人员",1.0
2017.0,"民政","宝安区","事业编制工作人员",3.0
2017.0,"民政","光明区","事业编制工作人员",2.0
2017.0,"民政","龙岗区","事业编制工作人员",1.0
2017.0,"民政","龙华区","事业编制工作人员",9.0
2017.0,"民政","罗湖区","事业编制工作人员",0.0
2017.0,"民政","南山区","事业编制工作人员",1.0
2017.0,"民政","坪山区","事业编制工作人员",2.0
2017.0,"民政","盐田区","事业编制工作人员",0.0
2017.0,"民宗","罗湖区","事业编制工作人员",0.0
2017.0,"民宗","坪山区","事业编制工作人员",1.0
2017.0,"人社","宝安区","事业编制工作人员",4.0
2017.0,"人社","福田区","事业编制工作人员",6.0
2017.0,"人社","光明区","事业编制工作人员",1.0
2017.0,"人社","龙岗区","事业编制工作人员",8.0
2017.0,"人社","龙华区","事业编制工作人员",8.0
2017.0,"人社","罗湖区","事业编制工作人员",0.0
2017.0,"人社","南山区","事业编制工作人员",3.0
2017.0,"人社","坪山区","事业编制工作人员",11.0
2017.0,"审计","宝安区","事业编制工作人员",0.0
2017.0,"审计","福田区","事业编制工作人员",9.0
2017.0,"审计","光明区","事业编制工作人员",6.0
2017.0,"审计","龙岗区","事业编制工作人员",17.0
2017.0,"审计","龙华区","事业编制工作人员",0.0
2017.0,"审计","南山区","事业编制工作人员",4.0
2017.0,"审计","坪山区","事业编制工作人员",10.0
2017.0,"生态","宝安区","事业编制工作人员",0.0
2017.0,"生态","大鹏新区","事业编制工作人员",2.0
2017.0,"生态","福田区","事业编制工作人员",2.0
2017.0,"生态","光明区","事业编制工作人员",1.0
2017.0,"生态","龙岗区","事业编制工作人员",22.0
2017.0,"生态","龙华区","事业编制工作人员",0.0
2017.0,"生态","罗湖区","事业编制工作人员",12.0
2017.0,"生态","南山区","事业编制工作人员",7.0
2017.0,"生态","坪山区","事业编制工作人员",1.0
2017.0,"生态","盐田区","事业编制工作人员",1.0
2017.0,"事单","龙华区","事业编制工作人员",0.0
2017.0,"事单","坪山区","事业编制工作人员",1.0
2017.0,"市监","盐田区","事业编制工作人员",3.0
2017.0,"水务","宝安区","事业编制工作人员",10.0
2017.0,"水务","福田区","事业编制工作人员",4.0
2017.0,"水务","龙岗区","事业编制工作人员",22.0
2017.0,"水务","罗湖区","事业编制工作人员",1.0
2017.0,"水务","南山区","事业编制工作人员",2.0
2017.0,"水务","坪山区","事业编制工作人员",8.0
2017.0,"水务","盐田区","事业编制工作人员",3.0
2017.0,"司法","龙华区","事业编制工作人员",0.0
2017.0,"司法","坪山区","事业编制工作人员",0.0
2017.0,"统计","宝安区","事业编制工作人员",15.0
2017.0,"统计","福田区","事业编制工作人员",19.0
2017.0,"统计","龙华区","事业编制工作人员",1.0
2017.0,"统计","罗湖区","事业编制工作人员",3.0
2017.0,"统计","南山区","事业编制工作人员",16.0
2017.0,"统计","坪山区","事业编制工作人员",0.0
2017.0,"卫生","宝安区","事业编制工作人员",119.0
2017.0,"卫生","大鹏新区","事业编制工作人员",5.0
2017.0,"卫生","福田区","事业编制工作人员",4.0
2017.0,"卫生","光明区","事业编制工作人员",29.0
2017.0,"卫生","龙岗区","事业编制工作人员",154.0
2017.0,"卫生","龙华区","事业编制工作人员",1.0
2017.0,"卫生","南山区","事业编制工作人员",0.0
2017.0,"卫生","坪山区","事业编制工作人员",29.0
2017.0,"文体","大鹏新区","事业编制工作人员",3.0
2017.0,"文体","龙岗区","事业编制工作人员",2.0
2017.0,"医疗","宝安区","事业编制工作人员",0.0
2017.0,"医疗","大鹏新区","事业编制工作人员",0.0
2017.0,"医疗","福田区","事业编制工作人员",0.0
2017.0,"医疗","光明区","事业编制工作人员",0.0
2017.0,"医疗","龙岗区","事业编制工作人员",0.0
2017.0,"医疗","罗湖区","事业编制工作人员",0.0
2017.0,"医疗","坪山区","事业编制工作人员",0.0
2017.0,"医疗","盐田区","事业编制工作人员",0.0
2017.0,"应急","大鹏新区","事业编制工作人员",4.0
2017.0,"应急","福田区","事业编制工作人员",4.0
2017.0,"应急","光明区","事业编制工作人员",2.0
2017.0,"应急","龙岗区","事业编制工作人员",20.0
2017.0,"应急","龙华区","事业编制工作人员",3.0
2017.0,"应急","罗湖区","事业编制工作人员",2.0
2017.0,"应急","南山区","事业编制工作人员",11.0
2017.0,"应急","坪山区","事业编制工作人员",6.0
2017.0,"住建","宝安区","事业编制工作人员",76.0
2017.0,"住建","大鹏新区","事业编制工作人员",4.0
2017.0,"住建","福田区","事业编制工作人员",20.0
